user_id,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
652,1475,29128,m,"{""mindfulness"":""medium""}",1968-04-25 18:49:32.609+00,mindfulness,
653,25,1103,f,"{""mindfulness"":""medium""}",1971-04-26 07:13:15.388+00,mindfulness,
655,365,219,f,"{""mindfulness"":""low""}",1981-04-25 23:05:57.8+00,mindfulness,
656,1840,3896,m,"{""mindfulness"":""high""}",1985-04-25 23:53:03.719+00,mindfulness,
657,185,854,f,"{""yoga"":""medium""}",1982-04-26 04:09:04.089+00,yoga,
659,60,12,m,"{""mindfulness"":""low""}",1992-04-26 09:49:10.042+00,mindfulness,
660,170,160,f,"{""yoga"":""medium""}",1963-04-26 11:20:30.801+00,yoga,
662,85,17,m,"{""mindfulness"":""medium""}",1968-04-26 14:45:08.949+00,mindfulness,
663,2510,2510,f,"{""mindfulness"":""none""}",1960-04-26 15:08:33.583+00,mindfulness,
665,1995,820,m,"{""yoga"":""low""}",1973-04-26 22:26:14.78+00,yoga,
666,1175,3640,m,"{""yoga"":""medium""}",1974-03-13 23:11:50.61+00,yoga,
668,110,22,m,"{""mindfulness"":""none""}",1986-04-27 00:32:12.556+00,mindfulness,
669,105,21,m,"{""mindfulness"":""medium""}",1989-04-27 02:27:18.449+00,mindfulness,
670,65,13,f,"{""mindfulness"":""medium""}",1991-04-27 02:43:20.343+00,mindfulness,
672,2285,457,f,"{""yoga"":""medium""}",1983-04-27 05:23:01.187+00,yoga,
675,2550,9715,f,"{""mindfulness"":""none""}",1968-04-27 12:30:33.518+00,mindfulness,
679,5125,12518,m,"{""mindfulness"":""medium""}",1988-04-27 16:11:41.495+00,mindfulness,
680,130,26,m,"{""mindfulness"":""none""}",1987-04-27 16:55:25.556+00,mindfulness,
685,5,1,m,"{""mindfulness"":""medium""}",1992-04-27 19:05:32.998+00,mindfulness,
686,105,21,m,"{""mindfulness"":""medium""}",1990-04-27 19:12:25.991+00,mindfulness,
694,660,660,m,"{""mindfulness"":""medium""}",1973-04-27 21:26:28.675+00,mindfulness,
696,700,280,f,"{""mindfulness"":""medium""}",1986-04-27 21:33:52.931+00,mindfulness,
702,650,390,f,"{""mindfulness"":""medium""}",1966-04-28 11:50:57.494+00,mindfulness,
704,450,90,m,"{""mindfulness"":""low""}",1986-04-28 14:38:02.632+00,mindfulness,
705,300,164,m,"{""mindfulness"":""low""}",1988-04-28 17:36:58.891+00,mindfulness,
706,110,22,m,"{""mindfulness"":""none""}",1980-04-28 17:53:35.151+00,mindfulness,
708,600,7208,f,"{""mindfulness"":""medium""}",1982-12-12 05:17:25.745+00,mindfulness,
723,5,1,f,"{""mindfulness"":""medium""}",1988-04-29 00:11:01.349+00,mindfulness,
730,3185,4459,f,"{""yoga"":""medium""}",1985-04-29 05:25:54.783+00,yoga,
739,1300,780,f,"{""mindfulness"":""high""}",1973-04-29 17:30:03.204+00,mindfulness,
747,20,4,f,"{""mindfulness"":""low""}",1988-04-29 22:03:50.704+00,mindfulness,
756,690,276,f,"{""mindfulness"":""low""}",1985-04-30 12:02:17.658+00,mindfulness,
760,110,22,m,"{""mindfulness"":""none""}",1969-04-30 16:03:28.977+00,mindfulness,
763,125,50,m,"{""mindfulness"":""low""}",1969-04-30 18:24:44.236+00,mindfulness,
769,295,59,f,"{""yoga"":""high""}",1965-04-30 21:12:49.239+00,yoga,
773,720,764,m,"{""mindfulness"":""medium""}",1980-05-01 05:29:52.962+00,mindfulness,
774,455,91,m,"{""mindfulness"":""low""}",1984-05-01 06:06:34.654+00,mindfulness,
775,695,278,f,"{""mindfulness"":""none""}",1982-05-01 08:04:55.09+00,mindfulness,
777,165,33,f,"{""mindfulness"":""none""}",1985-05-01 12:55:08.158+00,mindfulness,
780,195,39,m,"{""yoga"":""none""}",1981-05-01 13:36:06.016+00,yoga,
781,135,27,m,"{""mindfulness"":""low""}",1985-05-01 14:27:23.846+00,mindfulness,
782,470,940,m,"{""mindfulness"":""none""}",1963-05-01 14:28:54.924+00,mindfulness,
783,65,955,f,"{""mindfulness"":""medium""}",1987-05-01 14:56:32.85+00,mindfulness,
784,35,7,m,"{""mindfulness"":""none""}",1993-05-01 15:24:01.803+00,mindfulness,
785,20,4,f,"{""mindfulness"":""none""}",1989-05-01 16:35:28.399+00,mindfulness,
787,145,29,m,"{""mindfulness"":""none""}",1949-05-01 17:49:03.614+00,mindfulness,
788,2480,3080,f,"{""mindfulness"":""medium""}",1962-05-01 17:52:08.142+00,mindfulness,
789,40,8,f,"{""mindfulness"":""medium""}",1966-05-01 18:30:46.588+00,mindfulness,
790,700,280,f,"{""mindfulness"":""low""}",1948-05-01 18:36:49.184+00,mindfulness,
793,355,142,m,"{""mindfulness"":""none""}",1980-05-01 20:51:02.879+00,mindfulness,
797,100,20,f,"{""mindfulness"":""none""}",1959-05-01 22:36:28.598+00,mindfulness,
799,485,194,f,"{""mindfulness"":""none""}",1973-05-01 23:35:50.604+00,mindfulness,
800,490,748,f,"{""mindfulness"":""none""}",1978-05-01 23:51:58.906+00,mindfulness,
801,690,276,f,"{""mindfulness"":""high""}",1977-05-02 00:32:57.263+00,mindfulness,
803,15,3,f,"{""mindfulness"":""medium""}",1971-05-02 01:59:48.391+00,mindfulness,
805,485,17822,m,"{""mindfulness"":""none""}",1988-06-21 20:35:00.98+00,mindfulness,2015-07-10 02:18:47.206+00
806,60,12,m,"{""mindfulness"":""medium""}",1964-05-02 03:33:58.947+00,mindfulness,
813,10,2,m,"{""mindfulness"":""none""}",1993-05-02 13:22:15.316+00,mindfulness,
814,705,282,f,"{""mindfulness"":""low""}",1970-05-02 13:25:56.931+00,mindfulness,
815,1355,1084,m,"{""mindfulness"":""low""}",1962-05-02 15:12:21.304+00,mindfulness,
817,690,276,f,"{""mindfulness"":""none""}",1979-05-02 16:41:14.033+00,mindfulness,
824,535,214,f,"{""mindfulness"":""none""}",2002-05-03 02:24:43.639+00,mindfulness,
825,2755,3840,f,"{""mindfulness"":""low""}",1982-05-03 02:29:09.656+00,mindfulness,
830,830,332,f,"{""mindfulness"":""medium""}",1985-05-03 13:53:25.036+00,mindfulness,
831,700,280,f,"{""mindfulness"":""high""}",1951-05-03 13:57:28.072+00,mindfulness,
832,240,48,m,"{""mindfulness"":""medium""}",1953-05-03 19:10:30.653+00,mindfulness,
834,705,282,f,"{""mindfulness"":""low""}",1946-05-03 19:20:59.156+00,mindfulness,
835,1295,777,f,"{""mindfulness"":""none""}",1985-05-03 21:09:49.888+00,mindfulness,
842,360,72,f,"{""mindfulness"":""low""}",1959-05-04 03:41:43.013+00,mindfulness,
845,4545,16300,f,"{""mindfulness"":""medium""}",1983-05-04 11:40:15.854+00,mindfulness,
846,630,252,f,"{""mindfulness"":""high""}",1954-05-04 12:52:03.471+00,mindfulness,
848,695,278,f,"{""mindfulness"":""high""}",1963-05-04 13:40:05.617+00,mindfulness,
854,140,3321,m,"{""mindfulness"":""medium""}",1992-05-04 16:56:20.807+00,mindfulness,
858,50,10,m,"{""mindfulness"":""medium""}",1971-05-04 17:49:18.731+00,mindfulness,
860,3430,90123,f,"{""mindfulness"":""medium""}",1977-05-04 18:37:41.71+00,mindfulness,
863,3540,5684,f,"{""mindfulness"":""medium""}",1964-05-04 20:05:07.546+00,mindfulness,
867,30,6,m,"{""mindfulness"":""low""}",1968-05-04 21:03:42.162+00,mindfulness,
868,65,26,m,"{""mindfulness"":""medium""}",1993-05-04 21:14:31.041+00,mindfulness,
870,415,83,f,"{""mindfulness"":""medium""}",1962-05-04 21:16:20.6+00,mindfulness,
875,5,1,m,"{""mindfulness"":""low""}",1969-05-04 21:50:55.278+00,mindfulness,
880,6440,16470,f,"{""yoga"":""high""}",1960-05-06 16:18:19.639+00,yoga,
883,3045,4263,m,"{""mindfulness"":""low""}",1958-05-05 03:11:34.374+00,mindfulness,
884,120,33,m,"{""mindfulness"":""none""}",1970-05-05 03:20:39.079+00,mindfulness,
885,1455,9230,m,"{""mindfulness"":""low""}",1980-05-05 03:26:46.97+00,mindfulness,
886,70,14,f,"{""mindfulness"":""low""}",1966-05-05 04:04:18.307+00,mindfulness,
888,60,12,f,"{""mindfulness"":""medium""}",1971-05-05 05:12:57.315+00,mindfulness,
889,700,280,f,"{""mindfulness"":""none""}",1977-05-05 05:23:24.394+00,mindfulness,
890,700,280,f,"{""mindfulness"":""none""}",1989-05-05 11:46:59.803+00,mindfulness,
893,125,25,m,"{""mindfulness"":""medium""}",1946-05-05 13:06:53.578+00,mindfulness,
894,695,278,m,"{""mindfulness"":""none""}",1960-05-05 13:31:36.971+00,mindfulness,
898,695,6984,m,"{""mindfulness"":""medium""}",1954-05-05 14:14:57.861+00,mindfulness,
903,665,266,f,"{""mindfulness"":""low""}",1986-05-05 15:53:13.797+00,mindfulness,
907,15,33,f,"{""mindfulness"":""low""}",1974-05-05 16:45:17.488+00,mindfulness,
908,2895,9843,m,"{""mindfulness"":""medium""}",1965-05-05 18:58:33.503+00,mindfulness,2015-05-05 20:44:19.174+00
909,1950,1560,f,"{""mindfulness"":""none""}",1960-05-05 19:16:32.838+00,mindfulness,
912,395,79,m,"{""mindfulness"":""medium""}",1964-05-05 19:42:06.069+00,mindfulness,
913,5,1,f,"{""mindfulness"":""low""}",1993-05-05 19:46:33.949+00,mindfulness,
914,30,114,f,"{""mindfulness"":""medium""}",1978-05-05 19:47:43.019+00,mindfulness,
921,1290,774,m,"{""mindfulness"":""medium""}",1970-05-05 23:23:59.222+00,mindfulness,
923,395,158,m,"{""mindfulness"":""high""}",1976-05-06 00:12:00.428+00,mindfulness,
924,1390,5880,f,"{""mindfulness"":""medium""}",1972-05-06 00:34:13.965+00,mindfulness,
929,1265,1265,f,"{""mindfulness"":""medium""}",1959-05-06 01:01:15.532+00,mindfulness,
932,635,254,f,"{""mindfulness"":""medium""}",1980-05-06 02:28:48.381+00,mindfulness,
933,1225,1960,m,"{""mindfulness"":""high""}",1968-05-06 03:05:38.098+00,mindfulness,
934,105,21,f,"{""mindfulness"":""medium""}",1989-05-06 03:25:36.281+00,mindfulness,
935,1850,370,f,"{""yoga"":""medium""}",1962-05-06 04:16:46.44+00,yoga,
936,5,1,f,"{""mindfulness"":""medium""}",1985-05-06 04:23:06.38+00,mindfulness,
938,20,12,m,"{""mindfulness"":""medium""}",1956-05-06 05:44:15.298+00,mindfulness,
939,25,5,f,"{""mindfulness"":""medium""}",1970-05-06 05:48:35.424+00,mindfulness,
943,7715,32403,f,"{""mindfulness"":""medium""}",1968-05-06 07:43:40.71+00,mindfulness,
944,120,24,f,"{""mindfulness"":""medium""}",1979-05-06 08:08:20.915+00,mindfulness,
945,1955,3366,m,"{""mindfulness"":""medium""}",1975-05-06 08:17:57.583+00,mindfulness,
948,8850,49455,m,"{""mindfulness"":""medium""}",1958-05-06 12:35:48.12+00,mindfulness,
949,40,16,f,"{""mindfulness"":""low""}",1981-05-06 13:18:08.646+00,mindfulness,
950,105,21,f,"{""mindfulness"":""medium""}",1981-05-06 13:22:44.585+00,mindfulness,
951,410,164,f,"{""mindfulness"":""medium""}",1982-05-06 13:29:29.716+00,mindfulness,
955,735,294,f,"{""mindfulness"":""medium""}",1956-05-06 14:32:43.552+00,mindfulness,
958,700,280,f,"{""mindfulness"":""medium""}",1965-05-06 15:26:43.886+00,mindfulness,
960,330,66,f,"{""mindfulness"":""low""}",1990-05-06 15:59:46.573+00,mindfulness,
963,1430,3336,f,"{""mindfulness"":""medium""}",1952-05-06 17:29:37.709+00,mindfulness,
973,970,1256,m,"{""yoga"":""low""}",1989-05-06 18:27:00.163+00,yoga,
978,15,22,m,"{""mindfulness"":""medium""}",1985-05-06 18:58:24.339+00,mindfulness,
981,30,6,m,"{""mindfulness"":""none""}",2000-05-06 19:46:04.919+00,mindfulness,
983,15,198,f,"{""mindfulness"":""low""}",1972-05-06 20:12:32.083+00,mindfulness,
984,5725,50765,m,"{""mindfulness"":""medium""}",1974-05-06 20:12:20.915+00,mindfulness,
985,110,22,m,"{""mindfulness"":""high""}",1957-05-06 20:15:20.836+00,mindfulness,
990,695,278,f,"{""mindfulness"":""low""}",1983-05-06 23:12:04.011+00,mindfulness,
991,120,24,m,"{""mindfulness"":""high""}",1951-05-06 22:56:08.43+00,mindfulness,
993,210,197,m,"{""mindfulness"":""high""}",1968-12-28 22:12:06.197+00,mindfulness,
994,4325,9248,f,"{""mindfulness"":""low""}",1960-05-06 23:19:11.07+00,mindfulness,
997,2705,3787,f,"{""mindfulness"":""high""}",1966-05-07 03:50:25.187+00,mindfulness,
998,1605,1392,f,"{""mindfulness"":""high""}",1963-05-07 04:12:42.827+00,mindfulness,
1002,780,312,f,"{""mindfulness"":""high""}",1975-05-07 08:20:41.534+00,mindfulness,
1003,15,3,m,"{""mindfulness"":""low""}",1982-05-07 09:17:10.678+00,mindfulness,
1004,290,74,m,"{""mindfulness"":""medium""}",1966-01-04 15:11:13.219+00,mindfulness,
1006,15,3,f,"{""mindfulness"":""low""}",1979-05-07 13:48:57.747+00,mindfulness,
1010,2320,41580,m,"{""mindfulness"":""low""}",1985-07-12 13:02:23.964+00,mindfulness,
1014,55,22,m,"{""mindfulness"":""none""}",1981-05-07 16:41:58.91+00,mindfulness,
1015,6080,12312,f,"{""mindfulness"":""low""}",1962-05-07 17:41:31.755+00,mindfulness,
1016,640,1508,f,"{""mindfulness"":""medium""}",1967-05-07 18:14:33.014+00,mindfulness,
1019,195,78,f,"{""yoga"":""medium""}",1976-05-07 19:21:20.394+00,yoga,
1020,125,55,f,"{""mindfulness"":""low""}",1966-05-07 19:25:06.375+00,mindfulness,
1022,65,13,m,"{""mindfulness"":""medium""}",1980-05-07 19:29:56.552+00,mindfulness,
1024,695,278,m,"{""mindfulness"":""none""}",1965-05-07 20:48:39.953+00,mindfulness,
1025,910,910,f,"{""mindfulness"":""medium""}",1994-05-07 21:32:48.248+00,mindfulness,
1028,10,2,f,"{""mindfulness"":""medium""}",1948-05-07 22:35:16.03+00,mindfulness,
1031,20,4,m,"{""mindfulness"":""low""}",1980-05-08 01:08:59.727+00,mindfulness,
1038,35,7,f,"{""mindfulness"":""low""}",1998-05-08 02:09:38.264+00,mindfulness,
1039,1835,367,f,"{""yoga"":""medium""}",1966-05-08 02:14:46.605+00,yoga,
1044,265,53,m,"{""mindfulness"":""medium""}",1973-05-08 12:55:06.743+00,mindfulness,
1045,85,34,f,"{""yoga"":""medium""}",1989-05-08 13:18:59.746+00,yoga,
1046,30,431,f,"{""yoga"":""high""}",1976-05-08 13:54:35.043+00,yoga,
1047,20,4,f,"{""mindfulness"":""none""}",1968-05-08 14:54:02.532+00,mindfulness,
1050,4005,9405,m,"{""mindfulness"":""medium""}",1955-05-08 15:16:35.09+00,mindfulness,
1051,90,36,f,"{""mindfulness"":""low""}",1985-05-08 15:38:02.182+00,mindfulness,
1054,645,387,f,"{""mindfulness"":""medium""}",1975-05-08 16:58:56.528+00,mindfulness,
1057,10110,51502,m,"{""yoga"":""low""}",1997-05-08 18:21:47.112+00,yoga,
1058,705,522,f,"{""mindfulness"":""low""}",1990-05-08 18:22:19.78+00,mindfulness,
1060,715,286,m,"{""mindfulness"":""low""}",1993-05-08 18:42:53.839+00,mindfulness,
1061,30,6,f,"{""yoga"":""none""}",1987-05-08 18:53:49.307+00,yoga,
1062,165,33,f,"{""mindfulness"":""medium""}",1964-05-08 19:07:15.344+00,mindfulness,
1063,1285,771,f,"{""mindfulness"":""high""}",1966-05-08 23:18:01.496+00,mindfulness,
1064,70,364,m,"{""mindfulness"":""low""}",1956-05-08 19:40:42.847+00,mindfulness,
1066,705,423,m,"{""mindfulness"":""medium""}",1949-05-08 19:56:00.719+00,mindfulness,
1070,215,334,f,"{""mindfulness"":""none""}",1966-03-09 03:12:40.72+00,mindfulness,
1075,765,819,f,"{""mindfulness"":""medium""}",1979-05-09 04:35:09.502+00,mindfulness,
1079,70,14,m,"{""mindfulness"":""none""}",1985-05-09 13:12:38.123+00,mindfulness,
1083,15,3,f,"{""mindfulness"":""none""}",1978-05-09 15:23:32.584+00,mindfulness,
1084,110,538,f,"{""mindfulness"":""low""}",1976-05-09 16:15:48.264+00,mindfulness,
1087,50,30,f,"{""mindfulness"":""medium""}",2002-05-09 17:19:24.487+00,mindfulness,
1088,60,12,m,"{""mindfulness"":""low""}",1987-05-09 19:50:28.707+00,mindfulness,
1089,700,280,f,"{""mindfulness"":""medium""}",1967-05-09 19:56:42.047+00,mindfulness,
1092,10,2,f,"{""mindfulness"":""none""}",1960-05-09 22:08:54.856+00,mindfulness,
1099,1795,9383,f,"{""mindfulness"":""high""}",1951-05-10 07:10:30.599+00,mindfulness,
1100,230,46,f,"{""mindfulness"":""high""}",1994-05-10 10:40:00.862+00,mindfulness,
1101,700,280,f,"{""mindfulness"":""none""}",1969-05-10 14:36:07.27+00,mindfulness,
1103,10,2,m,"{""mindfulness"":""low""}",1984-05-10 18:25:29.199+00,mindfulness,
1106,1345,22264,f,"{""yoga"":""medium""}",1974-05-10 21:24:15.892+00,yoga,
1108,8640,6303,f,"{""mindfulness"":""low""}",1981-05-10 23:51:11.25+00,mindfulness,
1113,3380,5408,f,"{""mindfulness"":""none""}",1962-05-11 01:24:18.077+00,mindfulness,
1114,10775,67304,f,"{""yoga"":""high""}",1996-05-11 01:40:04.53+00,yoga,2015-06-10 01:41:34.142+00
1115,16020,191064,m,"{""mindfulness"":""low""}",1965-05-11 02:14:55.355+00,mindfulness,
1117,695,278,f,"{""mindfulness"":""low""}",1982-05-11 02:41:50.643+00,mindfulness,
1118,150,60,m,"{""mindfulness"":""low""}",1994-05-11 03:33:26.897+00,mindfulness,
1119,15,143,m,"{""mindfulness"":""low""}",1986-05-11 04:07:05.906+00,mindfulness,
1121,65,23,m,"{""mindfulness"":""none""}",1964-05-11 07:18:25.974+00,mindfulness,
1122,1300,1143,f,"{""mindfulness"":""medium""}",1973-05-11 11:15:30.309+00,mindfulness,
1123,725,435,f,"{""mindfulness"":""low""}",1974-05-11 14:10:35.917+00,mindfulness,
1125,265,53,m,"{""mindfulness"":""none""}",1957-05-11 14:32:01.755+00,mindfulness,
1127,10,2,m,"{""mindfulness"":""none""}",1950-05-11 15:17:54.285+00,mindfulness,
1130,515,206,m,"{""mindfulness"":""medium""}",1991-05-11 16:03:15.022+00,mindfulness,
1131,15,3,f,"{""mindfulness"":""medium""}",1975-05-11 16:04:43.81+00,mindfulness,
1134,20,4,m,"{""mindfulness"":""none""}",1987-05-11 16:10:10.796+00,mindfulness,
1137,655,524,m,"{""mindfulness"":""medium""}",1974-05-11 16:37:38.724+00,mindfulness,
1138,15,3,m,"{""mindfulness"":""medium""}",1968-05-11 16:35:06.306+00,mindfulness,
1139,705,282,f,"{""mindfulness"":""medium""}",1969-05-11 16:35:30.174+00,mindfulness,
1140,3945,996,f,"{""mindfulness"":""medium""}",1985-05-11 16:40:24.265+00,mindfulness,
1141,2005,2005,f,"{""mindfulness"":""medium""}",1980-05-11 16:44:27.388+00,mindfulness,
1142,4355,7839,m,"{""mindfulness"":""high""}",1957-05-11 16:51:24.459+00,mindfulness,
1149,195,39,f,"{""yoga"":""medium""}",1970-05-11 17:34:31.185+00,yoga,
1150,10,421,m,"{""mindfulness"":""medium""}",1986-05-11 17:35:20.426+00,mindfulness,
1151,40,8,f,"{""mindfulness"":""low""}",1976-05-11 17:42:02.618+00,mindfulness,
1152,140,28,f,"{""mindfulness"":""high""}",1972-05-11 17:45:45.111+00,mindfulness,
1155,70,14,m,"{""yoga"":""medium""}",1969-05-11 18:28:01.951+00,yoga,
1159,430,258,f,"{""mindfulness"":""medium""}",1959-05-11 18:47:20.423+00,mindfulness,
1163,65,61,f,"{""mindfulness"":""medium""}",1958-05-11 19:38:56.531+00,mindfulness,
1166,700,280,m,"{""mindfulness"":""none""}",1983-05-11 19:49:44.77+00,mindfulness,
1168,2740,6754,f,"{""mindfulness"":""medium""}",1985-05-11 20:46:13.623+00,mindfulness,
1169,65,13,m,"{""mindfulness"":""high""}",1948-05-11 21:07:25.977+00,mindfulness,
1171,5,6,m,"{""mindfulness"":""medium""}",1976-05-11 22:18:33.353+00,mindfulness,
1175,785,628,f,"{""mindfulness"":""low""}",1923-05-11 22:41:20.893+00,mindfulness,
1177,15,3,f,"{""yoga"":""none""}",1994-05-11 23:17:49.006+00,yoga,
1179,105,21,f,"{""mindfulness"":""high""}",1978-05-12 00:25:13.129+00,mindfulness,
1180,5,1,m,"{""mindfulness"":""medium""}",1978-05-12 01:25:46.399+00,mindfulness,
1184,5245,33184,f,"{""mindfulness"":""high""}",1966-05-12 02:21:53.654+00,mindfulness,
1185,110,22,f,"{""yoga"":""high""}",1975-05-12 02:33:33.294+00,yoga,
1186,335,67,f,"{""mindfulness"":""low""}",1970-05-12 02:37:58.509+00,mindfulness,
1189,240,48,m,"{""mindfulness"":""none""}",1978-05-12 03:08:10.567+00,mindfulness,
1190,100,40,f,"{""mindfulness"":""low""}",1986-05-12 03:18:37.756+00,mindfulness,
1191,65,13,f,"{""mindfulness"":""medium""}",1959-05-12 03:28:02.895+00,mindfulness,
1192,1280,1830,m,"{""mindfulness"":""low""}",1967-05-12 03:58:10.388+00,mindfulness,
1194,1340,804,m,"{""mindfulness"":""low""}",1955-05-12 05:24:07.523+00,mindfulness,
1197,310,62,f,"{""mindfulness"":""none""}",1961-05-12 10:32:58.594+00,mindfulness,
1199,20,105,f,"{""mindfulness"":""low""}",1967-05-12 11:25:32.284+00,mindfulness,
